PVWatts: Hourly PV Performance Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7,0,100,5.4,0,91.428,5.328,583.755,536.729,,,,,,,,,,,,,,6000 Gallon Plastic Water Storage Tank,6000 Gallons,"102""","189""",DC-906000-1.2,"$3,580.00",,,,,,,,,,,,,,,,,
1,1,8,5,199,6,0,184.482,11.901,1144.009,1084.329,,,,,,,,,,,,,,4700 Gallon Plastic Water Storage Tank,4700 Gallons,"102""","142.5""",SII-WG80,"$3,535.99",,,,,,,,,,,,,,,,,
1,1,9,21,275,7,0,264.404,17.165,1601.102,1529.86,,,,,,,,,,,,,,6500 Gallon Plastic Water Storage Tank,6500 Gallons,"119""","150""",N-43876,"$3,499.99",,,,,,,,,,,,,,,,,
1,1,10,7,353,10,0,325.184,23.119,1917.17,1837.283,,,,,,,,,,,,,,5000 Gallon Green Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,1,11,9,395,11,0,365.123,26.051,2123.307,2037.495,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"102""","157""",9525-SII-WG83,"$3,400.99",,,,,,,,,,,,,,,,,
1,1,12,9,411,11,3.6,380.079,18.941,2284.55,2193.945,,,,,,,,,,,,,,5000 Gal Black Plastic Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,1,13,9,400,10.5,3.3,369.74,18.489,2226.968,2138.09,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"102""","152""",9514-N-40641,"$3,299.99",,,,,,,,,,,,,,,,,
1,1,14,7,363,10,3.1,334.223,17.297,2023.938,1941.01,,,,,,,,,,,,,,5000 Gal Green Plastic Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,1,15,22,289,10,2.6,278.106,16.241,1691.31,1617.655,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"102""","152""",9514-N-40870,"$3,299.99",,,,,,,,,,,,,,,,,
1,1,16,12,213,8.4,3.1,201.298,12.254,1245.782,1183.624,,,,,,,,,,,,,,5000 Gal Green Plastic Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,1,17,0,122,7.9,5.2,111.707,8.97,702.057,652.498,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"102""","152""",9525-N-41375,"$3,299.99",,,,,,,,,,,,,,,,,
1,1,18,0,26,7.4,5.2,23.022,6.612,146.178,107.872,,,,,,,,,,,,,,6250 Gallon Plastic Water Storage Tank,6250 Gallons,"120""","147""",EP-TLV06250DG,"$3,299.00",,,,,,,,,,,,,,,,,
1,1,19,0,0,6.7,2.5,0,6.7,0,0,,,,,,,,,,,,,,6000 Gallon Plastic Water Storage Tank,6000 Gallons,"144""","110""",EP-TLV06011DG,"$3,183.00",,,,,,,,,,,,,,,,,
1,1,20,0,0,6.7,3.6,0,6.7,0,0,,,,,,,,,,,,,,5000 Gal Green Plastic Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,1,21,0,0,4.2,5.9,0,4.2,0,0,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"144""","87""",9525-SII-WG84,"$3,099.99",,,,,,,,,,,,,,,,,
1,1,22,0,0,3.9,7.4,0,3.9,0,0,,,,,,,,,,,,,,5000 Gal Green Plastic Water Storage Tank,,,,,,,,,,,,,,,,,,,,,,
1,1,23,0,0,4,4.8,0,4,0,0,,,,,,,,,,,,,,Ships Immediately!,5000 Gallons,"141""","86""",9525-N-41377,"$2,799.99",,,,,,,,,,,,,,,,,
