Average retail price of electricity monthly,,,,,
https://www.eia.gov/electricity/data/browser/#/topic/7?agg=0,1&geo=0002&endsec=vg&linechart=ELEC.PRICE.NY-ALL.M~ELEC.PRICE.NY-RES.M~ELEC.PRICE.NY-COM.M~ELEC.PRICE.NY-IND.M~ELEC.PRICE.NY-TRA.M&columnchart=ELEC.PRICE.NY-ALL.M&map=ELEC.PRICE.NY-ALL.M&freq=M&start=200101&end=201706&chartindexed=0&ctype=linechart&ltype=pin&rtype=s&maptype=0&rse=0&pin=,,,,
07:55:57 GMT-0400 (Eastern Daylight Time),,,,,
Data source: U.S. Energy Information Administration,,,,,
Month,New York : all sectors cents per kilowatthour,New York : residential cents per kilowatthour,New York : commercial cents per kilowatthour,New York : industrial cents per kilowatthour,New York : transportation cents per kilowatthour
8-Jan,15.24,16.87,15.48,8.94,10.84
7-Dec,15.08,16.66,15.73,9.44,9.77
7-Nov,14.71,16.94,15.48,8.21,9.12
7-Oct,15.26,17.48,15.83,8.97,10.6
7-Sep,15.51,17.15,16.8,7.38,11.25
7-Aug,16.33,17.96,17.2,9.39,11.16
7-Jul,15.98,17.27,16.95,9.18,12.27
7-Jun,15.92,18.17,16.64,8.65,11.73
7-May,15.22,17.5,16.05,8.33,11.82
7-Apr,14.73,17.14,15.08,8.91,10.73
7-Mar,14.71,16.83,14.68,9.44,13.45
7-Feb,14.44,15.89,15.56,7.16,10.29
7-Jan,14.33,16.09,14.46,9.62,9.45
6-Dec,14.43,15.88,14.71,9.27,11.51
6-Nov,14.65,16.33,14.95,9.05,10.98
6-Oct,15.62,17.22,15.98,9.54,12.27
6-Sep,16.3,17.92,16.6,10.02,12.54
6-Aug,16.66,17.74,17.27,9.88,12.33
6-Jul,16.33,17.56,16.76,9.83,12.69
6-Jun,15.67,17.33,16.1,9.14,12.69
6-May,14.62,16.56,14.8,9.12,11.91
6-Apr,14.42,16.36,14.45,9.18,11.67
6-Mar,14.11,15.89,14.26,8.49,11.71
6-Feb,14.91,16.66,14.94,9.43,11.13
6-Jan,14.75,16.61,14.53,9.76,11.72
5-Dec,14.53,16.53,14.83,8.55,11.5
5-Nov,14.72,17.57,14.81,8.66,10.2
5-Oct,15.37,17.36,15.72,9.67,13.87
5-Sep,15.31,16.69,15.9,9.65,12.3
5-Aug,15.21,16.16,15.79,9.95,11.95
5-Jul,14.58,15.63,15.37,8.54,12.21
5-Jun,13.96,15.58,14.79,7.52,11.38
5-May,13.08,15.36,13.53,7.25,10.77
5-Apr,12.56,14.64,12.91,7.24,10.85
5-Mar,12.5,14.4,12.66,7.41,10.49
5-Feb,12.38,14.53,12.42,7.01,10.81
5-Jan,12.42,14.05,12.71,7.03,10.25
4-Dec,12.34,14.29,12.59,7.13,8.07
4-Nov,12.35,14.88,12.61,6.86,7.93
4-Oct,12.93,14.93,13.51,7.26,8.57
4-Sep,13.49,15.1,14.27,7.3,8.3
4-Aug,13.67,15.32,14.45,7.28,8.46
4-Jul,13.7,15.36,14.46,7.34,8.15
4-Jun,12.85,14.99,13.3,7.33,7.94
4-May,11.95,14.2,12.17,7.03,7.46
4-Apr,11.63,14.03,11.71,7.01,7.6
4-Mar,11.78,13.98,12.11,6.34,7.51
4-Feb,11.93,14.02,12.07,6.98,7.34
4-Jan,11.62,13.32,11.97,6.64,7.45
3-Dec,11.67,13.63,11.88,6.69,8.77
3-Nov,11.9,14.23,12.24,6.65,9.01
3-Oct,12.87,14.75,13.6,7.09,9.49
3-Sep,13.3,14.92,14.1,7.2,9.87
3-Aug,13.42,14.94,14.25,7.03,9.81
3-Jul,13.48,15.14,14.27,7.05,10.04
3-Jun,12.81,14.98,13.44,7.03,9.69
3-May,12.34,14.77,12.82,7.02,9.27
